price,location,type,size_sqm,bedrooms,bathrooms,available_from,payment_method,city,size_sqft,available_from_month
25540000,Cairo,Villa,260,5,5,2025.0,Installments,New Cairo City,2799,Sep
2992500,Red Sea,Apartment,59,1,1,2025.0,Cash,Hurghada,635,Aug
71500000,Giza,Villa,403,8,5,2025.0,Installments,Sheikh Zayed City,4338,Aug
12000000,Red Sea,Chalet,71,2,1,2025.0,Installments,Hurghada,764,Aug
4950000,North Coast,Chalet,104,2,2,2025.0,Installments,Sidi Abdel Rahman,1119,Aug
6386000,Red Sea,Apartment,95,2,1,2025.0,Installments,Hurghada,1023,Aug
16999990,North Coast,Chalet,139,3,2,2025.0,Cash,Sidi Heneish,1496,Sep
29019200,Cairo,Townhouse,261,5,5,2025.0,Cash,New Cairo City,2809,Jul
5300000,Cairo,Apartment,85,1,1,2025.0,Installments,New Cairo City,915,Aug
32000000,Red Sea,Townhouse,130,3,2,2025.0,Cash,Hurghada,1399,Aug
28000000,Giza,Townhouse,360,5,4,2025.0,Cash,Sheikh Zayed City,3875,Aug
15790000,Cairo,Apartment,145,2,2,2025.0,Cash,New Cairo City,1561,Aug
6500000,Giza,Apartment,157,3,2,2025.0,Cash,6 October City,1690,Sep
6000000,Cairo,Apartment,115,3,2,2025.0,Installments,Madinaty,1238,Sep
16000000,Red Sea,Chalet,134,4,3,2025.0,Cash,Hurghada,1442,Sep
10000000,Red Sea,Chalet,130,3,3,2025.0,Installments,Hurghada,1399,Aug
7600000,North Coast,Chalet,95,2,1,2025.0,Cash,Ras Al Hekma,1023,Aug
3017400,Red Sea,Apartment,47,1,1,2026.0,Installments,Hurghada,506,Aug
14000000,Giza,Apartment,150,4,3,2025.0,Installments,6 October City,1615,Aug
11700000,Cairo,Apartment,174,3,3,2025.0,Installments,New Heliopolis,1873,Aug
2571750,Red Sea,Apartment,127,2,1,2025.0,Cash,Hurghada,1367,Aug
3441932,Red Sea,Chalet,70,1,1,2025.0,Cash,Hurghada,753,Aug
730000,Giza,Apartment,106,3,2,2025.0,Cash,6 October City,1141,Aug
6230000,Giza,Penthouse,146,2,3,2025.0,Installments,6 October City,1572,Aug
27000000,North Coast,Penthouse,280,5,4,2025.0,Installments,Qesm Marsa Matrouh,3014,Aug
14815000,Suez,Townhouse,130,4,2,2025.0,Cash,Al Ain Al Sokhna,1399,Sep
14000000,Red Sea,Apartment,66,1,1,2025.0,Installments,Hurghada,710,Sep
3000000,North Coast,Chalet,60,2,1,2025.0,Installments,Al Alamein,646,Sep
4184000,Cairo,Apartment,166,4,3,2025.0,Installments,New Cairo City,1787,Sep
4100000,Giza,Apartment,158,4,4,2025.0,Cash,Sheikh Zayed City,1701,Aug
13000000,Red Sea,Chalet,115,3,2,2025.0,Cash,Hurghada,1238,Sep
39200000,North Coast,Villa,301,5,4,2025.0,Installments,Ras Al Hekma,3240,Sep
14500000,North Coast,Chalet,140,3,3,2025.0,Installments,Qesm Ad Dabaah,1507,Aug
6235000,Cairo,Apartment,145,3,2,2025.0,Installments,New Cairo City,1561,Aug
30000000,North Coast,Villa,190,4,3,2025.0,Cash,Sidi Heneish,2045,Sep
19900000,North Coast,Chalet,151,3,2,2025.0,Installments,Qesm Ad Dabaah,1625,Aug
14400000,North Coast,Chalet,241,3,3,2025.0,Cash,Ras Al Hekma,2594,Aug
600000,Giza,Apartment,130,3,2,2025.0,Cash,Sheikh Zayed City,1399,Aug
15500000,North Coast,Chalet,107,3,2,2025.0,Installments,Ras Al Hekma,1152,Aug
3800000,North Coast,Chalet,65,1,1,2025.0,Installments,Sidi Abdel Rahman,700,Aug
26000000,Cairo,Townhouse,236,5,5,2025.0,Cash,New Cairo City,2540,Sep
2750000,Giza,Apartment,180,4,3,2025.0,Installments,Sheikh Zayed City,1938,Jul
6650000,Giza,Apartment,186,4,3,2025.0,Installments,Sheikh Zayed City,2002,Jul
1814400,Red Sea,Apartment,60,1,1,2025.0,Cash,Hurghada,646,Sep
5182000,Cairo,Apartment,139,3,2,2025.0,Installments,New Capital City,1496,Sep
5288197,Cairo,Apartment,83,1,1,2025.0,Cash,Mostakbal City - Future City,893,Sep
13200000,North Coast,Chalet,141,4,3,2025.0,Cash,Ras Al Hekma,1518,Sep
7800000,North Coast,Villa,170,3,3,2025.0,Installments,Ras Al Hekma,1830,Sep
7000000,Cairo,Apartment,209,4,3,2025.0,Cash,New Cairo City,2250,Jul
18000000,Cairo,Duplex,245,4,3,2025.0,Installments,El Nozha,2637,Sep
60000000,North Coast,Villa,800,5,4,2025.0,Cash,Qesm Ad Dabaah,8611,Aug
21500000,Red Sea,Villa,122,2,2,2025.0,Installments,Hurghada,1313,Sep
60000000,North Coast,Villa,670,6,5,2025.0,Cash,Qesm Ad Dabaah,7212,Aug
8000000,Giza,Apartment,225,3,3,2025.0,Installments,Mohandessin,2422,Aug
55000000,Cairo,Villa,388,5,5,2025.0,Installments,New Cairo City,4176,Sep
8000000,North Coast,Villa,335,5,5,2025.0,Cash,Ras Al Hekma,3606,Aug
16000000,North Coast,Townhouse,187,4,4,2025.0,Installments,Ras Al Hekma,2013,Sep
16000000,Cairo,Townhouse,155,4,3,2025.0,Cash,New Cairo City,1668,Sep
6000000,Giza,Apartment,195,4,4,2025.0,Installments,6 October City,2099,Aug
10000000,North Coast,Chalet,86,1,2,2025.0,Cash,Qesm Marsa Matrouh,926,Aug
19300000,Red Sea,Penthouse,188,4,3,2025.0,Installments,Hurghada,2024,Aug
4000000,Cairo,Apartment,140,4,2,,Cash,New Cairo City,1507,
7000000,North Coast,Chalet,116,4,3,2025.0,Installments,Sidi Abdel Rahman,1249,Jul
3000000,Giza,Apartment,159,3,2,2025.0,Installments,Sheikh Zayed City,1711,Aug
2900000,Cairo,Apartment,67,1,1,2025.0,Installments,Noor City,721,Aug
6200000,North Coast,Chalet,100,2,2,2025.0,Cash,Qesm Ad Dabaah,1076,Aug
4500000,Cairo,Apartment,175,4,3,2025.0,Cash,New Cairo City,1884,Aug
16400000,Giza,Townhouse,214,3,3,2025.0,Cash,Sheikh Zayed City,2303,Sep
25650000,North Coast,Townhouse,170,3,3,2025.0,Cash,Ras Al Hekma,1830,Aug
43000000,North Coast,Villa,250,4,4,2025.0,Installments,Ras Al Hekma,2691,Sep
27315000,Cairo,Townhouse,207,3,3,2025.0,Cash,Noor City,2228,Sep
12000000,North Coast,Chalet,110,3,2,2025.0,Cash,Qesm Marsa Matrouh,1184,Sep
15689250,Cairo,Apartment,181,3,3,2025.0,Installments,New Cairo City,1948,Aug
8000000,North Coast,Chalet,130,3,3,2025.0,Installments,Sidi Abdel Rahman,1399,Sep
6549828,Cairo,Apartment,120,2,2,2025.0,Cash,New Capital City,1292,Aug
3123009,Red Sea,Apartment,47,1,1,2025.0,Cash,Hurghada,506,Jul
28000000,North Coast,Chalet,156,3,2,2025.0,Cash,Qesm Ad Dabaah,1679,Sep
8000000,North Coast,Chalet,110,3,2,2025.0,Installments,Sidi Abdel Rahman,1184,Sep
10280000,Cairo,Apartment,78,1,2,2025.0,Installments,New Cairo City,840,Aug
23000000,North Coast,Twin House,400,5,4,2025.0,Cash,Qesm Ad Dabaah,4306,Sep
11685000,Cairo,Apartment,126,2,3,2025.0,Cash,New Cairo City,1356,Sep
13273408,Cairo,Apartment,93,2,1,2025.0,Installments,New Cairo City,1001,Sep
16300000,North Coast,Chalet,155,4,3,2025.0,Cash,Qesm Marsa Matrouh,1668,Aug
977648,Cairo,Apartment,55,1,1,2025.0,Installments,Hay El Maadi,592,Aug
3157000,Red Sea,Apartment,70,1,1,2025.0,Cash,Hurghada,753,Aug
950000,Red Sea,Villa,140,4,3,2025.0,Cash,Hurghada,1507,Aug
30000000,North Coast,Twin House,305,4,4,2025.0,Cash,Ras Al Hekma,3283,Aug
19000000,Red Sea,Chalet,92,3,3,2025.0,Cash,Hurghada,990,Aug
14490000,Red Sea,Chalet,103,2,1,2025.0,Cash,Hurghada,1109,May
6000000,Cairo,Apartment,119,3,2,2025.0,Installments,Noor City,1281,Aug
10700000,Red Sea,Chalet,70,1,1,2025.0,Installments,Hurghada,753,Sep
14000000,Cairo,Apartment,115,2,2,2025.0,Cash,New Cairo City,1238,Aug
40000000,Cairo,Villa,386,7,7,2025.0,Cash,New Cairo City,4155,Aug
52713262,North Coast,Villa,349,6,6,2025.0,Installments,Sidi Abdel Rahman,3757,Aug
12613652,North Coast,Chalet,146,3,3,2025.0,Installments,Al Alamein,1572,Sep
8000000,North Coast,Chalet,140,2,1,,Installments,Al Alamein,1507,
1800000,Giza,Apartment,165,3,2,2024.0,Cash,6 October City,1776,Jul
17294000,Cairo,Apartment,177,4,3,2025.0,Installments,New Heliopolis,1905,Sep
15230000,Cairo,Villa,334,4,4,2025.0,Installments,New Cairo City,3595,Aug
325000,Giza,Apartment,100,3,2,2025.0,Cash,Sheikh Zayed City,1076,Aug
5669240,North Coast,Chalet,86,2,2,2025.0,Installments,Ras Al Hekma,926,Aug
10900000,Cairo,Penthouse,199,4,3,,Cash,New Cairo City,2142,
3745575,Qalyubia,Apartment,165,3,3,2025.0,Cash,Obour City,1776,Jul
6000000,Cairo,Apartment,139,2,2,2025.0,Cash,New Cairo City,1496,Jul
24557000,Cairo,Villa,191,4,3,2025.0,Installments,New Cairo City,2056,Jul
27500000,North Coast,Penthouse,225,4,4,2025.0,Cash,Qesm Marsa Matrouh,2422,Sep
3600000,Cairo,Apartment,73,2,1,2025.0,Installments,New Heliopolis,786,Aug
9000000,North Coast,Duplex,170,2,3,2025.0,Installments,Ras Al Hekma,1830,Aug
8600000,Giza,Apartment,156,3,3,2025.0,Cash,6 October City,1679,Sep
16500000,Cairo,Duplex,195,4,3,2025.0,Installments,New Cairo City,2099,Sep
21000000,North Coast,Townhouse,200,4,3,2025.0,Installments,Ras Al Hekma,2153,Jul
10450000,Cairo,Duplex,216,4,3,2025.0,Cash,New Cairo City,2325,Sep
30000000,North Coast,Villa,450,6,5,2025.0,Cash,Ras Al Hekma,4844,Aug
18902000,Alexandria,Apartment,188,2,2,2025.0,Installments,Alexandria Compounds,2024,Sep
3700000,Giza,Apartment,72,1,1,2025.0,Cash,Sheikh Zayed City,775,Sep
12350000,Red Sea,Penthouse,171,4,3,2025.0,Cash,Hurghada,1841,Aug
8173827,Giza,Chalet,120,3,2,2025.0,Installments,Sheikh Zayed City,1292,Aug
31000000,North Coast,Hotel Apartment,135,3,3,2025.0,Cash,Qesm Marsa Matrouh,1453,Aug
20598000,Cairo,Townhouse,285,4,4,2025.0,Cash,New Cairo City,3068,Sep
13200000,Red Sea,Chalet,70,2,2,2025.0,Cash,Hurghada,753,Aug
10658000,North Coast,Chalet,98,2,2,2025.0,Installments,Ras Al Hekma,1055,Sep
3000000,Giza,Apartment,143,4,3,2025.0,Cash,6 October City,1539,Aug
5030000,Cairo,Apartment,190,3,3,2025.0,Cash,New Cairo City,2045,Aug
15300000,North Coast,Chalet,118,2,2,2025.0,Installments,Qesm Ad Dabaah,1270,Aug
9600000,Cairo,Apartment,127,3,2,2025.0,Installments,Mostakbal City - Future City,1367,Aug
13000000,Cairo,Apartment,208,5,4,2025.0,Cash,New Cairo City,2239,Sep
9300000,Giza,Apartment,130,2,2,2025.0,Installments,6 October City,1399,Sep
6900000,Giza,Twin House,278,4,3,2025.0,Cash,6 October City,2992,Aug
3500000,North Coast,Chalet,115,2,1,2025.0,Installments,Al Alamein,1238,Jul
3500000,North Coast,Chalet,83,1,1,2025.0,Cash,Qesm Borg El Arab,893,Sep
9900000,Giza,Apartment,130,3,3,2025.0,Cash,6 October City,1399,Aug
2220000,Red Sea,Apartment,60,2,1,2025.0,Cash,Hurghada,646,Dec
20009000,North Coast,Cabin,66,2,1,2025.0,Installments,Sidi Abdel Rahman,710,Aug
6050000,Giza,Apartment,199,4,3,2025.0,Installments,Sheikh Zayed City,2142,Sep
39000000,North Coast,Villa,280,5,5,2025.0,Cash,Qesm Marsa Matrouh,3014,Aug
19000000,Red Sea,Apartment,84,2,1,2025.0,Installments,Hurghada,904,Sep
9000000,Red Sea,Chalet,75,2,1,2025.0,Cash,Hurghada,807,Aug
19000000,Red Sea,Duplex,165,4,2,2025.0,Installments,Hurghada,1776,Sep
10437000,North Coast,Chalet,110,4,2,2025.0,Installments,Qesm Marsa Matrouh,1184,Aug
3704675,Red Sea,Apartment,51,1,1,2025.0,Cash,Hurghada,549,Aug
65000000,North Coast,Villa,350,5,5,2025.0,Installments,Ras Al Hekma,3767,Aug
11000000,Giza,Apartment,160,4,3,2025.0,Installments,6 October City,1722,Aug
8952000,Giza,Apartment,118,3,2,2025.0,Installments,Sheikh Zayed City,1270,Aug
22500000,North Coast,Chalet,176,4,3,2025.0,Cash,Qesm Marsa Matrouh,1894,Aug
6052000,Alexandria,Apartment,178,3,3,2025.0,Installments,Alexandria Compounds,1916,Sep
18500000,North Coast,Chalet,165,4,3,2025.0,Cash,Qesm Marsa Matrouh,1776,Sep
10000000,North Coast,Chalet,140,3,2,2025.0,Cash,Ras Al Hekma,1507,Sep
10511000,Suez,Chalet,105,4,2,2025.0,Cash,Al Ain Al Sokhna,1130,Sep
13453000,Cairo,Apartment,108,2,2,2025.0,Cash,Heliopolis - Masr El Gedida,1163,Sep
56530000,North Coast,Villa,346,4,4,2025.0,Installments,Qesm Marsa Matrouh,3724,Sep
5800000,North Coast,Chalet,120,3,3,2025.0,Installments,Ras Al Hekma,1292,Aug
8600000,Giza,Apartment,94,3,2,2025.0,Cash,6 October City,1012,Aug
1600000,North Coast,Apartment,30,1,1,2025.0,Installments,Al Alamein,323,Apr
45608000,North Coast,Townhouse,264,4,4,,Installments,Qesm Ad Dabaah,2842,
5840000,Cairo,Apartment,70,1,1,2025.0,Installments,New Cairo City,753,Aug
3795000,North Coast,Chalet,60,2,1,2025.0,Cash,Al Alamein,646,Sep
16000000,Giza,iVilla,235,5,4,2025.0,Installments,6 October City,2530,Aug
325000,Giza,Apartment,100,3,1,2025.0,Cash,Sheikh Zayed City,1076,Aug
2700000,Giza,Apartment,173,4,3,2025.0,Cash,6 October City,1862,Sep
2000000,Giza,Villa,383,7,7,2025.0,Installments,6 October City,4123,Sep
9000000,North Coast,Chalet,120,3,3,2025.0,Installments,Ras Al Hekma,1292,Aug
17374260,North Coast,Chalet,142,4,3,2025.0,Installments,Qesm Ad Dabaah,1528,Aug
21436854,Cairo,Apartment,170,3,3,2025.0,Installments,New Cairo City,1830,Sep
4715000,Red Sea,Apartment,42,1,1,2025.0,Cash,Hurghada,452,Aug
65000000,North Coast,Hotel Apartment,170,3,3,2025.0,Installments,Qesm Marsa Matrouh,1830,Aug
10383021,Red Sea,Chalet,124,2,2,2025.0,Cash,Hurghada,1335,Sep
30000000,Cairo,Townhouse,215,4,3,2025.0,Cash,New Cairo City,2314,Sep
16000000,Cairo,Hotel Apartment,73,1,2,2025.0,Installments,New Cairo City,786,Sep
6580358,Cairo,Apartment,94,1,1,2025.0,Cash,Mostakbal City - Future City,1012,Sep
7505000,North Coast,Chalet,90,2,1,2025.0,Cash,Ras Al Hekma,969,Aug
4100000,Cairo,Apartment,161,3,3,2025.0,Cash,New Capital City,1733,Aug
34100000,North Coast,Twin House,240,5,4,2025.0,Cash,Qesm Marsa Matrouh,2583,Sep
2685000,Cairo,Apartment,150,3,2,,Installments,Mokattam,1615,
14500000,North Coast,Chalet,125,4,4,2025.0,Installments,Ras Al Hekma,1345,Sep
4290000,North Coast,Apartment,122,2,2,2025.0,Cash,Al Alamein,1313,Aug
7974250,Cairo,Apartment,167,4,3,2025.0,Installments,Shorouk City,1798,Sep
3400000,Giza,Apartment,140,4,3,2025.0,Installments,6 October City,1507,Aug
11146348,Cairo,iVilla,210,4,4,2025.0,Cash,Mostakbal City - Future City,2260,Sep
16565000,Giza,Penthouse,120,3,3,2025.0,Cash,6 October City,1292,Aug
27782680,North Coast,Twin House,258,5,5,2025.0,Cash,Qesm Ad Dabaah,2777,Aug
12000000,North Coast,Chalet,120,2,2,2025.0,Cash,Ras Al Hekma,1292,Aug
8000000,North Coast,Chalet,127,2,3,2025.0,Cash,Ras Al Hekma,1367,Sep
14050500,North Coast,Chalet,130,3,3,2025.0,Cash,Qesm Marsa Matrouh,1399,Aug
18100000,North Coast,Chalet,160,4,4,2025.0,Cash,Qesm Marsa Matrouh,1722,Sep
16466978,Giza,Apartment,268,3,4,2025.0,Cash,Sheikh Zayed City,2885,Jul
16200000,North Coast,Chalet,125,3,2,2025.0,Installments,Ras Al Hekma,1345,Aug
3900000,Cairo,Apartment,112,2,2,2025.0,Cash,Mostakbal City - Future City,1206,Aug
9464000,Giza,Apartment,136,2,2,2025.0,Cash,Sheikh Zayed City,1464,Sep
25000000,North Coast,Villa,250,7,5,2025.0,Cash,Sidi Heneish,2691,Aug
900000,North Coast,Chalet,143,4,2,2025.0,Cash,Ras Al Hekma,1539,Sep
7200000,Suez,Chalet,95,2,1,2025.0,Cash,Al Ain Al Sokhna,1023,Aug
13700000,North Coast,Chalet,155,4,4,2025.0,Cash,Ras Al Hekma,1668,Sep
5000000,Giza,Villa,180,4,3,2025.0,Cash,6 October City,1938,Aug
9505000,Cairo,Apartment,153,3,3,2025.0,Installments,New Capital City,1647,Aug
5000000,Cairo,Apartment,193,3,2,2025.0,Installments,New Cairo City,2077,Aug
13000000,North Coast,Chalet,120,4,2,2025.0,Cash,Ras Al Hekma,1292,Aug
20000000,Cairo,Villa,337,5,4,2025.0,Cash,New Cairo City,3627,Sep
5000000,North Coast,Chalet,86,3,2,2025.0,Installments,Ras Al Hekma,926,Sep
3700000,Cairo,Apartment,39,2,1,2025.0,Installments,New Cairo City,420,Aug
6000000,Giza,Villa,225,4,3,2025.0,Cash,Sheikh Zayed City,2422,Aug
13000000,North Coast,Chalet,115,3,2,2025.0,Installments,Ras Al Hekma,1238,Aug
9000000,Cairo,Apartment,85,1,1,2025.0,Cash,New Cairo City,915,Aug
9790000,Giza,Apartment,89,1,1,2025.0,Cash,Sheikh Zayed City,958,Aug
30000000,North Coast,Villa,250,5,4,2025.0,Cash,Ras Al Hekma,2691,Sep
9500000,North Coast,Chalet,123,4,3,2025.0,Cash,Ras Al Hekma,1324,Aug
28407500,North Coast,Hotel Apartment,149,2,2,2025.0,Installments,Qesm Marsa Matrouh,1604,Aug
13200000,Giza,Penthouse,180,4,4,2025.0,Installments,Sheikh Zayed City,1938,Aug
2500000,Cairo,Apartment,165,3,2,2025.0,Cash,Shorouk City,1776,Jul
13000000,North Coast,Chalet,110,3,2,2025.0,Cash,Ras Al Hekma,1184,Aug
15500000,North Coast,Penthouse,188,3,4,2025.0,Installments,Ras Al Hekma,2024,Aug
3123000,North Coast,Chalet,60,2,1,,Installments,Al Alamein,646,
12622702,Giza,Townhouse,210,3,3,2025.0,Cash,Sheikh Zayed City,2260,Sep
4250000,Cairo,Apartment,52,1,1,2025.0,Cash,New Cairo City,560,Jul
3001500,Red Sea,Apartment,87,2,1,2025.0,Cash,Hurghada,936,Sep
87380615,North Coast,Villa,329,4,5,2025.0,Installments,Qesm Ad Dabaah,3541,Aug
20391750,North Coast,Chalet,150,3,3,2025.0,Cash,Ras Al Hekma,1615,Aug
30477359,Red Sea,Chalet,129,3,2,2025.0,Cash,Hurghada,1389,Aug
2925000,Cairo,Apartment,130,3,2,2025.0,Cash,New Cairo City,1399,Jul
20000000,North Coast,Villa,530,6,6,2025.0,Cash,Ras Al Hekma,5705,Sep
16200000,Giza,Apartment,158,3,3,2025.0,Installments,Sheikh Zayed City,1701,Sep
3448500,Red Sea,Apartment,66,1,1,2025.0,Cash,Hurghada,710,Aug
8250000,Cairo,Apartment,170,3,3,2025.0,Cash,New Cairo City,1830,Dec
23700000,North Coast,Twin House,191,4,3,2025.0,Cash,Ras Al Hekma,2056,Aug
5390000,Giza,Apartment,140,4,2,2025.0,Installments,6 October City,1507,Aug
15000000,Cairo,Townhouse,170,3,3,2025.0,Cash,New Cairo City,1830,Aug
10200000,North Coast,Chalet,155,3,3,2025.0,Installments,Al Alamein,1668,Sep
23497073,Cairo,Apartment,151,4,3,2025.0,Installments,New Cairo City,1625,Sep
7030000,Cairo,Apartment,74,1,1,2025.0,Cash,El Nozha,797,Aug
18127463,Cairo,Apartment,172,3,2,2025.0,Installments,New Cairo City,1851,Aug
17382120,North Coast,Chalet,142,2,2,2025.0,Cash,Qesm Ad Dabaah,1528,Jul
11000000,North Coast,Chalet,90,3,2,2025.0,Installments,Ras Al Hekma,969,Aug
3341100,Red Sea,Apartment,74,1,1,2025.0,Installments,Hurghada,797,Aug
10300000,Giza,Apartment,130,3,2,2025.0,Installments,6 October City,1399,Aug
2167000,North Coast,Chalet,90,3,1,2025.0,Cash,Qesm Borg El Arab,969,Sep
3928050,Red Sea,Apartment,86,2,1,2025.0,Cash,Hurghada,926,Sep
6650000,Cairo,Apartment,267,3,3,2025.0,Installments,New Cairo City,2874,Sep
5774300,Cairo,Apartment,70,1,1,2025.0,Installments,New Cairo City,753,Sep
6750000,Giza,Apartment,199,4,3,2025.0,Installments,Sheikh Zayed City,2142,Aug
28000000,North Coast,Townhouse,240,4,3,2025.0,Installments,Ras Al Hekma,2583,Aug
14000000,Giza,Apartment,159,4,3,2025.0,Cash,Sheikh Zayed City,1711,Aug
2560000,Red Sea,Apartment,64,2,1,2026.0,Cash,Hurghada,689,Aug
13802000,Alexandria,Apartment,268,4,3,2025.0,Installments,Hay Sharq,2885,Aug
140000000,Red Sea,Villa,455,7,8,2025.0,Installments,Hurghada,4898,Aug
25900000,Cairo,Townhouse,235,4,3,2025.0,Installments,New Cairo City,2530,Aug
21450000,Red Sea,Villa,122,2,2,2025.0,Installments,Hurghada,1313,Sep
4618950,Red Sea,Apartment,106,2,1,2025.0,Installments,Hurghada,1141,Aug
47000000,Red Sea,Villa,850,4,3,2025.0,Cash,Hurghada,9149,Sep
13000000,Giza,Apartment,124,3,2,2025.0,Installments,Sheikh Zayed City,1335,Sep
10500000,Cairo,Apartment,147,4,2,2025.0,Installments,New Cairo City,1582,Jul
10300000,North Coast,Apartment,231,4,3,2025.0,Installments,Al Alamein,2486,Aug
12310000,North Coast,Chalet,187,4,3,2025.0,Installments,Ras Al Hekma,2013,Sep
5000000,Giza,Penthouse,203,4,4,2025.0,Cash,Sheikh Zayed City,2185,Sep
10888000,North Coast,Chalet,95,2,2,2025.0,Cash,Ras Al Hekma,1023,Aug
2640000,Cairo,Apartment,160,4,3,2025.0,Installments,Shorouk City,1722,Aug
8000000,North Coast,Chalet,145,2,3,2025.0,Cash,Ras Al Hekma,1561,Sep
15000000,North Coast,Chalet,134,3,3,2025.0,Installments,Qesm Ad Dabaah,1442,Aug
4356000,Giza,Apartment,132,3,2,2025.0,Cash,6 October City,1421,Sep
14900000,Red Sea,Chalet,135,3,3,2025.0,Cash,Hurghada,1453,Sep
13000000,Giza,Villa,313,5,4,2025.0,Installments,Sheikh Zayed City,3369,Sep
12000000,North Coast,Chalet,95,3,2,2025.0,Installments,Ras Al Hekma,1023,Sep
20600000,North Coast,Townhouse,300,4,3,2025.0,Cash,Qesm Ad Dabaah,3229,Aug
8200000,Giza,Penthouse,234,4,4,2025.0,Cash,6 October City,2519,Aug
3000000,North Coast,Chalet,60,1,1,2025.0,Installments,Al Alamein,646,Aug
5425800,Cairo,Apartment,84,2,1,2025.0,Cash,New Cairo City,904,Sep
11500000,Red Sea,Chalet,124,3,3,2025.0,Installments,Hurghada,1335,Aug
8293900,Cairo,Apartment,162,3,2,2025.0,Installments,El Nozha,1744,Sep
35000000,North Coast,Villa,600,5,4,2025.0,Cash,Ras Al Hekma,6458,Sep
5865000,Cairo,Apartment,156,4,3,2025.0,Cash,Mostakbal City - Future City,1679,Aug
6500000,Cairo,Apartment,72,2,1,2025.0,Installments,New Heliopolis,775,Aug
4050000,Qalyubia,Apartment,152,4,3,2025.0,Cash,Obour City,1636,Jun
5420000,Cairo,Apartment,220,3,3,2025.0,Cash,New Capital City,2368,Sep
21000000,Cairo,Apartment,155,3,2,2025.0,Cash,New Cairo City,1668,Aug
5901000,Cairo,Apartment,130,2,2,2025.0,Installments,Mostakbal City - Future City,1399,Aug
16896920,North Coast,Penthouse,193,4,3,2025.0,Cash,Al Alamein,2077,Sep
29800000,North Coast,Chalet,230,5,4,2025.0,Cash,Ras Al Hekma,2476,Sep
25000000,North Coast,Twin House,250,4,4,2025.0,Cash,Qesm Ad Dabaah,2691,Sep
43300000,North Coast,Twin House,307,5,5,2025.0,Cash,Qesm Marsa Matrouh,3305,Aug
8917374,Giza,Apartment,120,3,2,2025.0,Installments,Sheikh Zayed City,1292,Sep
11400000,Giza,Apartment,155,3,3,2025.0,Cash,Sheikh Zayed City,1668,Sep
11580000,Cairo,Apartment,200,4,3,2025.0,Cash,New Cairo City,2153,Aug
